year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
2017,LAA,AL West,162,80,82,0,0.494,0.501,2nd of 5,21,710,709,3019585,29.9,29.1,55,31,A.Simmons (7.0),M.Scioscia (80-82)
2016,LAA,AL West,162,74,88,0,0.457,0.494,4th of 5,21,717,727,3016142,28.5,28.4,53,30,M.Trout (10.5),M.Scioscia (74-88)
2015,LAA,AL West,162,85,77,0,0.525,0.49,3rd of 5,3,661,675,3012765,28.7,28.3,51,25,M.Trout (9.4),M.Scioscia (85-77)
2014,LAA,AL West,162,98,64,0,0.605,0.593,1st of 5,--,773,630,3095935,29.3,28.4,54,31,M.Trout (7.6),M.Scioscia (98-64)
2013,LAA,AL West,162,78,84,0,0.481,0.498,3rd of 5,18,733,737,3019505,27.8,29.1,49,26,M.Trout (9.0),M.Scioscia (78-84)
2012,LAA,AL West,162,89,73,0,0.549,0.542,3rd of 4,5,767,699,3061770,28.7,30.1,44,23,M.Trout (10.5),M.Scioscia (89-73)
2011,LAA,AL West,162,86,76,0,0.531,0.524,2nd of 4,10,667,633,3166321,28.9,28.4,43,21,J.Weaver (6.9),M.Scioscia (86-76)
2010,LAA,AL West,162,80,82,0,0.494,0.486,3rd of 4,10,681,702,3250814,29.7,28.3,46,21,J.Weaver (5.3),M.Scioscia (80-82)
2009,LAA,AL West,162,97,65,0,0.599,0.568,1st of 4,--,883,761,3240386,29.6,28.6,46,25,C.Figgins (7.7),M.Scioscia (97-65)
2008,LAA,AL West,162,100,62,0,0.617,0.542,1st of 4,--,765,697,3336747,29,27.6,41,19,E.Santana (5.0),M.Scioscia (100-62)
2007,LAA,AL West,162,94,68,0,0.58,0.553,1st of 4,--,822,731,3365632,28.6,28.4,42,18,J.Lackey (6.2),M.Scioscia (94-68)
2006,LAA,AL West,162,89,73,0,0.549,0.521,2nd of 4,4,766,732,3406790,28.8,27.9,40,18,J.Weaver (4.7),M.Scioscia (89-73)
2005,LAA,AL West,162,95,67,0,0.586,0.576,1st of 4,--,761,643,3404686,29.8,28.5,40,18,V.Guerrero (5.7),M.Scioscia (95-67)
2004,LAA,AL West,162,92,70,0,0.568,0.559,1st of 4,--,836,734,3375677,28.9,29,38,16,V.Guerrero (5.6),M.Scioscia (92-70)
2003,LAA,AL West,162,77,85,0,0.475,0.496,3rd of 4,19,736,743,3061094,29.1,29,43,19,G.Anderson (4.0),M.Scioscia (77-85)
2002,LAA,AL West,162,99,63,0,0.611,0.625,2nd of 4,4,851,644,2305547,28.3,30.2,40,18,D.Erstad (6.4),M.Scioscia (99-63)
2001,LAA,AL West,162,75,87,0,0.463,0.475,3rd of 4,41,691,730,2000919,27.9,28.9,38,18,T.Glaus (5.2),M.Scioscia (75-87)
2000,LAA,AL West,162,82,80,0,0.506,0.497,3rd of 4,9.5,864,869,2066982,27.6,28.9,45,25,D.Erstad (8.3),M.Scioscia (82-80)
1999,LAA,AL West,162,70,92,0,0.432,0.432,4th of 4,25,711,826,2253123,28.6,31.5,45,20,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10)
1998,LAA,AL West,162,85,77,0,0.525,0.502,2nd of 4,3,787,783,2519280,28.7,29.8,45,19,C.Finley (7.1),T.Collins (85-77)
1997,LAA,AL West,162,84,78,0,0.519,0.52,2nd of 4,6,829,794,1767330,29.8,28.3,43,21,T.Salmon (5.0),T.Collins (84-78)
1996,LAA,AL West,161,70,91,0,0.435,0.404,4th of 4,19.5,762,943,1820521,29.3,29.1,52,30,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)"
1995,LAA,AL West,145,78,67,0,0.538,0.563,2nd of 4,1,801,697,1748680,28.8,30.7,45,20,T.Salmon (6.6),M.Lachemann (78-67)
2019,NYY,AL East,162,103,59,0,0.636,0.61,1st of 5,--,943,739,3304404,28.3,30.2,54,32,D.LeMahieu (6.0),A.Boone (103-59)
2018,NYY,AL East,162,100,62,0,0.617,0.608,2nd of 5,8,851,669,3482855,27.2,28.8,49,27,A.Judge (5.5),A.Boone (100-62)
2017,NYY,AL East,162,91,71,0,0.562,0.618,2nd of 5,2,858,660,3154938,28.6,27.8,51,25,A.Judge (8.1),J.Girardi (91-71)
2016,NYY,AL East,162,84,78,0,0.519,0.485,4th of 5,9,680,702,3063405,30.1,27.9,53,29,M.Tanaka (5.2),J.Girardi (84-78)
2015,NYY,AL East,162,87,75,0,0.537,0.541,2nd of 5,6,764,698,3193795,31.4,27.4,56,33,D.Betances (4.0),J.Girardi (87-75)
2014,NYY,AL East,162,84,78,0,0.519,0.478,2nd of 5,12,633,664,3401624,32.8,29.3,58,33,B.Gardner (3.9),J.Girardi (84-78)
2013,NYY,AL East,162,85,77,0,0.525,0.485,3rd of 5,12,650,671,3279589,31.9,31.8,56,24,R.Cano (7.8),J.Girardi (85-77)
2012,NYY,AL East,162,95,67,0,0.586,0.584,1st of 5,--,804,668,3542406,32.9,30.3,45,24,R.Cano (8.4),J.Girardi (95-67)
2011,NYY,AL East,162,97,65,0,0.599,0.624,1st of 5,--,867,657,3653680,30.6,31,48,28,C.Sabathia (6.4),J.Girardi (97-65)
2010,NYY,AL East,162,95,67,0,0.586,0.597,2nd of 5,1,859,693,3765807,30.3,30.3,43,21,R.Cano (8.1),J.Girardi (95-67)
2009,NYY,AL East,162,103,59,0,0.636,0.588,1st of 5,--,915,753,3719358,30.6,29.3,45,24,D.Jeter (6.6),J.Girardi (103-59)
2008,NYY,AL East,162,89,73,0,0.549,0.537,3rd of 5,8,789,727,4298655,31.4,30.6,51,27,A.Rodriguez (6.8),J.Girardi (89-73)
2007,NYY,AL East,162,94,68,0,0.58,0.599,2nd of 5,2,968,777,4271083,30.7,31.4,49,28,A.Rodriguez (9.4),J.Torre (94-68)
2006,NYY,AL East,162,97,65,0,0.599,0.587,1st of 5,--,930,767,4248067,30.9,32.5,49,25,C.Wang (6.0),J.Torre (97-65)
2005,NYY,AL East,162,95,67,0,0.586,0.553,1st of 5,--,886,789,4090696,32.3,34.2,51,28,A.Rodriguez (9.4),J.Torre (95-67)
2004,NYY,AL East,162,101,61,0,0.623,0.548,1st of 5,--,897,808,3775292,32.2,32.9,43,23,A.Rodriguez (7.6),J.Torre (101-61)
2003,NYY,AL East,163,101,61,1,0.623,0.592,1st of 5,--,877,716,3465600,30.3,33.7,49,23,M.Mussina (6.6),J.Torre (101-61)
2002,NYY,AL East,161,103,58,0,0.64,0.613,1st of 5,--,897,697,3465807,29.9,33.1,38,17,J.Giambi (7.1),J.Torre (103-58)
2001,NYY,AL East,161,95,65,1,0.594,0.555,1st of 5,--,804,713,3264907,31.2,30.9,47,20,M.Mussina (7.1),J.Torre (95-65)
2000,NYY,AL East,161,87,74,0,0.54,0.531,1st of 5,--,871,814,3055435,31.3,32,46,22,J.Posada (5.5),J.Torre (87-74)
1999,NYY,AL East,162,98,64,0,0.605,0.594,1st of 5,--,900,731,3292736,30.9,31.2,39,18,D.Jeter (8.0),J.Torre (98-64)
1998,NYY,AL East,162,114,48,0,0.704,0.67,1st of 5,--,965,656,2955193,30.4,30.2,38,19,D.Jeter (7.5),J.Torre (114-48)
1997,NYY,AL East,162,96,66,0,0.593,0.616,2nd of 5,2,891,688,2580325,30.6,29.6,41,18,A.Pettitte (8.4),J.Torre (96-66)
1996,NYY,AL East,162,92,70,0,0.568,0.546,1st of 5,--,871,787,2250877,30.1,29.3,48,24,A.Pettitte (5.6),J.Torre (92-70)
1995,NYY,AL East,145,79,65,1,0.549,0.539,2nd of 5,7,749,688,1705263,31.1,28.1,42,20,B.Williams (6.4),B.Showalter (79-65)
2019,BOS,AL East,162,84,78,0,0.519,0.539,3rd of 5,19,901,828,2924627,27.3,29,47,27,M.Betts (6.8),A.Cora (84-78)
2018,BOS,AL East,162,108,54,0,0.667,0.635,1st of 5,--,876,647,2895575,27.7,28.9,44,23,M.Betts (10.9),A.Cora (108-54)
2017,BOS,AL East,162,93,69,0,0.574,0.573,1st of 5,--,785,668,2917678,27.3,28.4,49,27,M.Betts (6.4),J.Farrell (93-69)
2016,BOS,AL East,162,93,69,0,0.574,0.606,1st of 5,--,878,694,2955434,28.5,29,50,26,M.Betts (9.7),J.Farrell (93-69)
2015,BOS,AL East,162,78,84,0,0.481,0.497,5th of 5,15,748,753,2880694,28.3,28.6,51,26,M.Betts (5.9),J.Farrell (78-84)
2014,BOS,AL East,162,71,91,0,0.438,0.445,5th of 5,25,634,715,2956089,29.2,29.9,55,25,D.Pedroia (4.7),J.Farrell (71-91)
2013,BOS,AL East,162,97,65,0,0.599,0.618,1st of 5,--,853,656,2833333,29.6,30.2,48,26,D.Pedroia (6.3),J.Farrell (97-65)
2012,BOS,AL East,162,69,93,0,0.426,0.457,5th of 5,26,734,806,3043003,29.4,28.7,56,26,D.Pedroia (5.1),B.Valentine (69-93)
2011,BOS,AL East,162,90,72,0,0.556,0.578,3rd of 5,7,875,737,3054001,30.1,30.3,49,27,J.Ellsbury (8.3),T.Francona (90-72)
2010,BOS,AL East,162,89,73,0,0.549,0.543,3rd of 5,7,818,744,3046445,30.9,29.6,53,25,A.Beltre (7.8),T.Francona (89-73)
2009,BOS,AL East,162,95,67,0,0.586,0.577,2nd of 5,8,872,736,3062699,30,29.8,52,27,K.Youkilis (6.6),T.Francona (95-67)
2008,BOS,AL East,162,95,67,0,0.586,0.589,2nd of 5,2,845,694,3048250,29.8,29.2,47,23,D.Pedroia (6.9),T.Francona (95-67)
2007,BOS,AL East,162,96,66,0,0.593,0.624,1st of 5,--,867,657,2970755,30.1,31.1,40,20,J.Beckett (6.5),T.Francona (96-66)
2006,BOS,AL East,162,86,76,0,0.531,0.497,3rd of 5,11,820,825,2930588,30.5,31.1,53,28,D.Ortiz (5.8),T.Francona (86-76)
2005,BOS,AL East,162,95,67,0,0.586,0.556,2nd of 5,--,910,805,2847888,31.3,33.6,52,26,D.Ortiz (5.2),T.Francona (95-67)
2004,BOS,AL East,162,98,64,0,0.605,0.596,2nd of 5,3,949,768,2837294,30.4,32.5,50,26,C.Schilling (7.8),T.Francona (98-64)
2003,BOS,AL East,162,95,67,0,0.586,0.578,2nd of 5,6,961,809,2724165,29.7,31.2,47,26,P.Martinez (8.0),G.Little (95-67)
2002,BOS,AL East,162,93,69,0,0.574,0.615,2nd of 5,10.5,859,665,2650862,29.9,31.1,39,18,D.Lowe (7.3),G.Little (93-69)
2001,BOS,AL East,161,82,79,0,0.509,0.516,2nd of 5,13.5,772,745,2625333,30,30.9,48,23,M.Ramirez (5.2),J.Williams (65-53) and J.Kerrigan (17-26)
2000,BOS,AL East,162,85,77,0,0.525,0.528,2nd of 5,2.5,792,745,2585895,29.3,30.2,52,24,P.Martinez (11.7),J.Williams (85-77)
