year,team,league,total_games,wins,losses,ties,season_win_loss_%,pythagorean_win_loss_%,division_finish,division_game_back,runs_for,runs_against,season_total_attendance,average_batter_age,average_pitcher_age,number_of_batters,number_of_pitchers,top_player,manager
1996,ATL,NL East,162,96,66,0,0.593,0.58,1st of 5,--,773,648,2901242,27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66)
1995,ATL,NL East,144,90,54,0,0.625,0.581,1st of 5,--,645,540,2561831,27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54)
2019,NYM,NL East,162,86,76,0,0.531,0.532,3rd of 5,11,791,737,2442532,27.9,28.6,53,29,J.deGrom (7.9),M.Callaway (86-76)
2018,NYM,NL East,162,77,85,0,0.475,0.479,4th of 5,13,676,707,2224995,28.4,28,56,30,J.deGrom (10.1),M.Callaway (77-85)
2017,NYM,NL East,162,70,92,0,0.432,0.427,4th of 5,27,735,863,2460622,28.9,27.5,52,29,J.deGrom (4.5),T.Collins (70-92)
2016,NYM,NL East,162,87,75,0,0.537,0.538,2nd of 5,8,671,617,2789602,29.5,28.4,46,22,N.Syndergaard (5.8),T.Collins (87-75)
2015,NYM,NL East,162,90,72,0,0.556,0.549,1st of 5,--,683,613,2569753,28.6,28.2,49,26,J.deGrom (5.4),T.Collins (90-72)
2014,NYM,NL East,162,79,83,0,0.488,0.508,2nd of 5,17,629,618,2148808,28.4,28.9,45,22,J.Lagares (5.3),T.Collins (79-83)
2013,NYM,NL East,162,74,88,0,0.457,0.454,3rd of 5,22,619,684,2135657,28.3,29.1,53,29,D.Wright (5.9),T.Collins (74-88)
2012,NYM,NL East,162,74,88,0,0.457,0.46,4th of 5,24,650,709,2242803,27.9,30.3,49,28,D.Wright (7.1),T.Collins (74-88)
2011,NYM,NL East,162,77,85,0,0.475,0.485,4th of 5,25,718,742,2352596,28,30,46,23,J.Reyes (4.6),T.Collins (77-85)
2010,NYM,NL East,162,79,83,0,0.488,0.503,4th of 5,18,656,652,2559738,28.4,29.5,47,20,A.Pagan (5.3),J.Manuel (79-83)
2009,NYM,NL East,162,70,92,0,0.432,0.445,4th of 5,23,671,757,3168571,29.5,29.2,53,24,A.Pagan (4.0),J.Manuel (70-92)
2008,NYM,NL East,162,89,73,0,0.549,0.551,2nd of 5,3,799,715,4042045,30.1,29,50,24,J.Santana (7.1),W.Randolph (34-35) and J.Manuel (55-38)
2007,NYM,NL East,162,88,74,0,0.543,0.532,2nd of 5,1,804,750,3853955,30.7,31.3,49,24,D.Wright (8.3),W.Randolph (88-74)
2006,NYM,NL East,162,97,65,0,0.599,0.56,1st of 5,--,834,731,3379535,30.2,32.2,49,27,C.Beltran (8.2),W.Randolph (97-65)
2005,NYM,NL East,162,83,79,0,0.512,0.549,3rd of 5,7,722,648,2829929,28.8,31.9,42,22,P.Martinez (6.5),W.Randolph (83-79)
2004,NYM,NL East,162,71,91,0,0.438,0.47,4th of 5,25,684,731,2318951,29.8,32.5,52,26,A.Leiter (4.7),A.Howe (71-91)
2003,NYM,NL East,161,66,95,0,0.41,0.427,5th of 5,34.5,642,754,2140599,29.3,31.6,50,25,S.Trachsel (4.4),A.Howe (66-95)
2002,NYM,NL East,161,75,86,0,0.466,0.491,5th of 5,26.5,690,703,2804838,30.6,30.3,48,25,E.Alfonzo (5.0),B.Valentine (75-86)
2001,NYM,NL East,162,82,80,0,0.506,0.452,3rd of 5,6,642,713,2658330,30.4,31.1,44,22,M.Piazza (4.5),B.Valentine (82-80)
2000,NYM,NL East,162,94,68,0,0.58,0.541,2nd of 5,1,807,738,2820530,30.4,31,47,20,E.Alfonzo (6.4),B.Valentine (94-68)
1999,NYM,NL East,163,97,66,0,0.595,0.583,2nd of 5,6.5,853,711,2725668,30.1,32.7,45,23,R.Ventura (6.7),B.Valentine (97-66)
1998,NYM,NL East,162,88,74,0,0.543,0.541,2nd of 5,18,706,645,2287948,28.9,31.7,49,20,J.Olerud (7.6),B.Valentine (88-74)
1997,NYM,NL East,162,88,74,0,0.543,0.542,3rd of 5,13,777,709,1766174,27.3,29.4,45,21,E.Alfonzo (6.2),B.Valentine (88-74)
1996,NYM,NL East,162,71,91,0,0.438,0.48,4th of 5,25,746,779,1588323,27.2,27.4,40,17,B.Gilkey (8.1),D.Green (59-72) and B.Valentine (12-19)
1995,NYM,NL East,144,69,75,0,0.479,0.528,2nd of 5,21,657,618,1273183,27.4,27.2,45,22,J.Kent (3.2),D.Green (69-75)
2019,PHI,NL East,162,81,81,0,0.5,0.488,4th of 5,16,774,794,2727421,27.6,28.4,56,34,J.Realmuto (4.4),G.Kapler (81-81)
2018,PHI,NL East,162,80,82,0,0.494,0.467,3rd of 5,10,677,728,2158124,26.7,26.8,48,31,A.Nola (10.0),G.Kapler (80-82)
2017,PHI,NL East,162,66,96,0,0.407,0.443,5th of 5,31,690,782,1905354,26.6,26.8,51,31,A.Nola (4.4),P.Mackanin (66-96)
2016,PHI,NL East,162,71,91,0,0.438,0.381,4th of 5,24,610,796,1915144,26.9,26.3,49,27,O.Herrera (4.2),P.Mackanin (71-91)
2015,PHI,NL East,162,63,99,0,0.389,0.385,5th of 5,27,626,809,1831080,28,28.5,50,30,O.Herrera (4.0),R.Sandberg (26-48) and P.Mackanin (37-51)
2014,PHI,NL East,162,73,89,0,0.451,0.452,5th of 5,23,619,687,2423852,30.8,30.1,49,26,C.Hamels (6.9),R.Sandberg (73-89)
2013,PHI,NL East,162,73,89,0,0.451,0.407,4th of 5,23,610,749,3012403,30,28.7,51,27,C.Lee (7.0),C.Manuel (53-67) and R.Sandberg (20-22)
2012,PHI,NL East,162,81,81,0,0.5,0.503,3rd of 5,17,684,680,3565718,31.1,29.1,49,24,C.Hamels (5.1),C.Manuel (81-81)
2011,PHI,NL East,162,102,60,0,0.63,0.633,1st of 5,--,713,529,3680718,31.4,29.2,42,23,C.Lee (8.9),C.Manuel (102-60)
2010,PHI,NL East,162,97,65,0,0.599,0.585,1st of 5,--,772,640,3777322,31.8,31.1,42,21,R.Halladay (8.3),C.Manuel (97-65)
2009,PHI,NL East,162,93,69,0,0.574,0.566,1st of 5,--,820,709,3600693,31.3,31.2,41,22,C.Utley (8.2),C.Manuel (93-69)
2008,PHI,NL East,162,92,70,0,0.568,0.573,1st of 5,--,799,680,3422583,30.1,30.6,40,18,C.Utley (9.0),C.Manuel (92-70)
2007,PHI,NL East,162,89,73,0,0.549,0.538,1st of 5,--,892,821,3108325,28.8,30.6,46,28,C.Utley (7.8),C.Manuel (89-73)
2006,PHI,NL East,162,85,77,0,0.525,0.529,2nd of 5,12,865,812,2701815,29.3,30.5,45,23,C.Utley (7.3),C.Manuel (85-77)
2005,PHI,NL East,162,88,74,0,0.543,0.548,2nd of 5,2,807,726,2665304,30,29.7,40,19,C.Utley (7.3),C.Manuel (88-74)
2004,PHI,NL East,162,86,76,0,0.531,0.533,2nd of 5,10,840,781,3250092,29.3,29.8,39,21,B.Abreu (6.6),L.Bowa (85-75) and G.Varsho (1-1)
2003,PHI,NL East,162,86,76,0,0.531,0.558,3rd of 5,15,791,697,2259948,28.3,29,38,20,B.Abreu (5.4),L.Bowa (86-76)
2002,PHI,NL East,161,80,81,0,0.497,0.491,3rd of 5,21.5,710,724,1618467,27.5,28.5,39,20,B.Abreu (5.8),L.Bowa (80-81)
2001,PHI,NL East,162,86,76,0,0.531,0.517,2nd of 5,2,746,719,1782054,26.9,28.9,46,22,S.Rolen (5.6),L.Bowa (86-76)
2000,PHI,NL East,162,65,97,0,0.401,0.428,5th of 5,30,708,830,1612769,28.5,28.7,51,27,B.Abreu (6.2),T.Francona (65-97)
1999,PHI,NL East,162,77,85,0,0.475,0.497,3rd of 5,26,841,846,1825337,28.2,28.3,41,22,B.Abreu (6.1),T.Francona (77-85)
1998,PHI,NL East,162,75,87,0,0.463,0.443,3rd of 5,31,713,808,1715722,27,29.3,40,21,S.Rolen (6.7),T.Francona (75-87)
1997,PHI,NL East,162,68,94,0,0.42,0.397,5th of 5,33,668,840,1490638,27.8,27.9,46,23,C.Schilling (6.3),T.Francona (68-94)
1996,PHI,NL East,162,67,95,0,0.414,0.412,5th of 5,29,650,790,1801677,28.4,27.7,54,25,C.Schilling (4.8),J.Fregosi (67-95)
1995,PHI,NL East,144,69,75,0,0.479,0.469,2nd of 5,21,615,658,2043598,29.7,27.1,50,26,R.Bottalico (2.9),J.Fregosi (69-75)
2019,WSN,NL East,162,93,69,0,0.574,0.585,2nd of 5,4,873,724,2259781,28.7,30.8,50,31,S.Strasburg (6.5),D.Martinez (93-69)
2018,WSN,NL East,162,82,80,0,0.506,0.556,2nd of 5,8,771,682,2529604,27.5,30.2,53,31,M.Scherzer (9.5),D.Martinez (82-80)
2017,WSN,NL East,162,97,65,0,0.599,0.59,1st of 5,--,819,672,2524980,29.2,30.1,49,24,M.Scherzer (7.5),D.Baker (97-65)
2016,WSN,NL East,162,95,67,0,0.586,0.6,1st of 5,--,763,612,2481938,28.8,29.1,43,24,M.Scherzer (6.5),D.Baker (95-67)
2015,WSN,NL East,162,83,79,0,0.512,0.546,2nd of 5,7,703,635,2619843,28.4,28.6,44,26,B.Harper (10.0),M.Williams (83-79)
2014,WSN,NL East,162,96,66,0,0.593,0.596,1st of 5,--,686,555,2579389,28.8,28.3,40,18,A.Rendon (6.6),M.Williams (96-66)
2013,WSN,NL East,162,86,76,0,0.531,0.521,2nd of 5,10,656,626,2652422,27.7,27.7,44,21,J.Werth (4.7),D.Johnson (86-76)
2012,WSN,NL East,162,98,64,0,0.605,0.594,1st of 5,--,731,594,2370794,27.2,27,43,19,J.Zimmermann (5.5),D.Johnson (98-64)
2011,WSN,NL East,161,80,81,0,0.497,0.486,3rd of 5,21.5,624,643,1940478,28.4,27.6,44,24,M.Morse (3.4),"J.Riggleman (38-37), J.McLaren (2-1) and D.Johnson (40-43)"
2010,WSN,NL East,162,69,93,0,0.426,0.443,5th of 5,28,655,742,1828066,29.1,28,46,26,R.Zimmerman (6.2),J.Riggleman (69-93)
2009,WSN,NL East,162,59,103,0,0.364,0.406,5th of 5,34,710,874,1817226,28.3,27.4,55,30,R.Zimmerman (7.3),M.Acta (26-61) and J.Riggleman (33-42)
2008,WSN,NL East,161,59,102,0,0.366,0.387,5th of 5,32.5,641,825,2320400,27.7,27.3,50,25,C.Guzman (4.6),M.Acta (59-102)
2007,WSN,NL East,162,73,89,0,0.451,0.431,4th of 5,16,673,783,1943812,27.9,27.5,47,26,R.Zimmerman (4.7),M.Acta (73-89)
2006,WSN,NL East,162,71,91,0,0.438,0.429,5th of 5,26,746,872,2153056,28.5,28.9,57,29,A.Soriano (6.1),F.Robinson (71-91)
2005,WSN,NL East,162,81,81,0,0.5,0.476,5th of 5,9,639,673,2731993,29.3,28.9,55,25,J.Patterson (4.5),F.Robinson (81-81)
2004,WSN,NL East,162,67,95,0,0.414,0.413,5th of 5,29,635,769,749550,27.5,26.5,46,22,L.Hernandez (5.7),F.Robinson (67-95)
2003,WSN,NL East,162,83,79,0,0.512,0.497,4th of 5,18,711,716,1025639,27.7,26.7,43,25,L.Hernandez (6.4),F.Robinson (83-79)
2002,WSN,NL East,162,83,79,0,0.512,0.511,2nd of 5,19,735,718,812045,28.2,27.7,43,20,V.Guerrero (7.0),F.Robinson (83-79)
2001,WSN,NL East,162,68,94,0,0.42,0.413,5th of 5,20,670,812,642745,27.6,27.4,47,23,J.Vazquez (6.3),F.Alou (21-32) and J.Torborg (47-62)
2000,WSN,NL East,162,67,95,0,0.414,0.409,4th of 5,28,738,902,926272,26.2,26.1,49,27,V.Guerrero (6.0),F.Alou (67-95)
1999,WSN,NL East,162,68,94,0,0.42,0.422,4th of 5,35,718,853,773277,25.9,25.5,44,21,V.Guerrero (4.4),F.Alou (68-94)
1998,WSN,NL East,162,65,97,0,0.401,0.412,4th of 5,41,644,783,914909,25.9,25.7,41,19,V.Guerrero (7.4),F.Alou (65-97)
1997,WSN,NL East,162,78,84,0,0.481,0.469,4th of 5,23,691,740,1497609,27.7,26.4,41,21,P.Martinez (8.8),F.Alou (78-84)
1996,WSN,NL East,162,88,74,0,0.543,0.547,2nd of 5,8,741,668,1616709,27.4,27.5,39,18,J.Fassero (5.3),F.Alou (88-74)
1995,WSN,NL East,144,66,78,0,0.458,0.488,5th of 5,24,621,638,1309618,26.2,27.6,45,21,P.Martinez (4.2),F.Alou (66-78)
2019,MIA,NL East,162,57,105,0,0.352,0.378,5th of 5,40,615,808,811302,28.4,26.5,50,26,B.Anderson (3.8),D.Mattingly (57-105)
2018,MIA,NL East,161,63,98,0,0.391,0.359,5th of 5,26.5,589,809,811104,27.5,27.6,51,29,J.Realmuto (4.3),D.Mattingly (63-98)
2017,MIA,NL East,162,77,85,0,0.475,0.475,2nd of 5,20,778,822,1583014,28.3,28.7,43,24,G.Stanton (7.9),D.Mattingly (77-85)
2016,MIA,NL East,161,79,82,0,0.491,0.482,3rd of 5,15.5,655,682,1712417,28.3,28,53,31,C.Yelich (5.4),D.Mattingly (79-82)
2015,MIA,NL East,162,71,91,0,0.438,0.454,3rd of 5,19,613,678,1752235,27.9,27.3,51,29,D.Gordon (5.1),M.Redmond (16-22) and D.Jennings (55-69)
2014,MIA,NL East,162,77,85,0,0.475,0.48,4th of 5,19,645,674,1732283,27.4,26.4,45,25,G.Stanton (6.5),M.Redmond (77-85)
2013,MIA,NL East,162,62,100,0,0.383,0.396,5th of 5,34,513,646,1586322,27.7,26,53,26,J.Fernandez (6.7),M.Redmond (62-100)
2012,MIA,NL East,162,69,93,0,0.426,0.422,5th of 5,29,609,724,2219444,28.3,28.8,45,21,G.Stanton (5.4),O.Guillen (69-93)
2011,MIA,NL East,162,72,90,0,0.444,0.447,5th of 5,30,625,702,1520562,27.4,28,44,22,G.Stanton (4.1),"E.Rodriguez (32-39), B.Hyde (0-1) and J.McKeon (40-50)"
2010,MIA,NL East,162,80,82,0,0.494,0.501,3rd of 5,17,719,717,1524894,26.9,27.1,57,31,J.Johnson (6.6),F.Gonzalez (34-36) and E.Rodriguez (46-46)
2009,MIA,NL East,162,87,75,0,0.537,0.504,2nd of 5,6,772,766,1464109,27,26.3,44,27,H.Ramirez (7.4),F.Gonzalez (87-75)
2008,MIA,NL East,161,84,77,0,0.522,0.502,3rd of 5,7.5,770,767,1335076,28,26.6,45,22,H.Ramirez (6.7),F.Gonzalez (84-77)
2007,MIA,NL East,162,71,91,0,0.438,0.445,5th of 5,18,790,891,1370511,26.7,26.2,50,30,H.Ramirez (4.4),F.Gonzalez (71-91)
2006,MIA,NL East,162,78,84,0,0.481,0.492,4th of 5,19,758,772,1164134,25.5,25.9,40,21,M.Cabrera (5.8),J.Girardi (78-84)
2005,MIA,NL East,162,83,79,0,0.512,0.491,3rd of 5,7,717,732,1852608,29.7,29.5,47,27,D.Willis (8.3),J.McKeon (83-79)
2004,MIA,NL East,162,83,79,0,0.512,0.512,3rd of 5,13,718,700,1723105,28.8,27.8,45,25,C.Pavano (5.8),J.McKeon (83-79)
2003,MIA,NL East,162,91,71,0,0.562,0.537,2nd of 5,10,751,692,1303215,27.7,26.3,40,22,I.Rodriguez (4.5),J.Torborg (16-22) and J.McKeon (75-49)
2002,MIA,NL East,162,79,83,0,0.488,0.46,4th of 5,23,699,763,813118,28.4,26.1,41,21,A.Burnett (4.0),J.Torborg (79-83)
2001,MIA,NL East,162,76,86,0,0.469,0.499,4th of 5,12,742,744,1261226,27.3,26.5,42,23,C.Floyd (6.6),J.Boles (22-26) and T.Perez (54-60)
2000,MIA,NL East,161,79,82,0,0.491,0.461,3rd of 5,15.5,731,797,1218326,26.1,26.7,40,18,L.Castillo (4.5),J.Boles (79-82)
1999,MIA,NL East,162,64,98,0,0.395,0.405,5th of 5,39,691,852,1369421,25.2,26,44,21,A.Fernandez (3.4),J.Boles (64-98)
1998,MIA,NL East,162,54,108,0,0.333,0.356,5th of 5,52,667,923,1730384,25.5,24.5,49,22,M.Kotsay (3.9),J.Leyland (54-108)
1997,MIA,NL East,162,92,70,0,0.568,0.546,2nd of 5,9,740,669,2364387,28.5,27.5,43,20,K.Brown (6.8),J.Leyland (92-70)
1996,MIA,NL East,162,80,82,0,0.494,0.49,3rd of 5,16,688,703,1746767,27.9,28,46,23,K.Brown (7.8),"R.Lachemann (39-47), C.Rojas (1-0) and J.Boles (40-35)"
1995,MIA,NL East,143,67,76,0,0.469,0.5,4th of 5,22.5,673,673,1700466,28.1,28.3,46,27,C.Hammond (3.3),R.Lachemann (67-76)
2019,STL,NL Central,162,91,71,0,0.562,0.565,1st of 5,--,764,662,3480393,28.8,27.8,43,23,J.Flaherty (6.0),M.Shildt (91-71)
2018,STL,NL Central,162,88,74,0,0.543,0.543,3rd of 5,7.5,759,691,3403587,28.1,26.7,49,30,M.Carpenter (4.9),M.Matheny (47-46) and M.Shildt (41-28)
2017,STL,NL Central,162,83,79,0,0.512,0.535,3rd of 5,9,761,705,3448337,28,28.3,48,25,T.Pham (6.2),M.Matheny (83-79)
2016,STL,NL Central,162,86,76,0,0.531,0.541,2nd of 5,17.5,779,712,3444490,28.5,28,41,21,C.Martinez (5.8),M.Matheny (86-76)
2015,STL,NL Central,162,100,62,0,0.617,0.594,1st of 5,--,647,525,3520889,28.4,28.2,46,23,J.Heyward (6.6),M.Matheny (100-62)
2014,STL,NL Central,162,90,72,0,0.556,0.512,1st of 5,--,619,603,3540649,28.6,27.2,46,24,A.Wainwright (6.4),M.Matheny (90-72)
2013,STL,NL Central,162,97,65,0,0.599,0.622,1st of 5,--,783,596,3369769,28.7,26.9,44,25,M.Carpenter (6.5),M.Matheny (97-65)
2012,STL,NL Central,162,88,74,0,0.543,0.575,2nd of 6,9,765,648,3262109,29.2,28.6,45,24,Y.Molina (7.2),M.Matheny (88-74)
2011,STL,NL Central,162,90,72,0,0.556,0.544,2nd of 6,6,762,692,3093954,29.3,30.2,46,24,A.Pujols (5.3),T.La Russa (90-72)
2010,STL,NL Central,162,86,76,0,0.531,0.563,2nd of 6,5,736,641,3301218,28.8,30.2,42,22,A.Pujols (7.5),T.La Russa (86-76)
2009,STL,NL Central,162,91,71,0,0.562,0.56,1st of 6,--,730,640,3343252,28.5,30.1,42,20,A.Pujols (9.7),T.La Russa (91-71)
2008,STL,NL Central,162,86,76,0,0.531,0.533,4th of 6,11.5,779,725,3432917,28.8,30.2,43,24,A.Pujols (9.2),T.La Russa (86-76)
2007,STL,NL Central,162,78,84,0,0.481,0.439,3rd of 6,7,725,829,3552180,30.2,29.6,45,25,A.Pujols (8.7),T.La Russa (78-84)
2006,STL,NL Central,161,83,78,0,0.516,0.511,1st of 6,--,781,762,3407104,29.6,28.6,41,19,A.Pujols (8.5),T.La Russa (83-78)
2005,STL,NL Central,162,100,62,0,0.617,0.608,1st of 6,--,805,634,3538988,30.8,29.7,40,20,A.Pujols (8.4),T.La Russa (100-62)
2004,STL,NL Central,162,105,57,0,0.648,0.617,1st of 6,--,855,659,3048427,30.6,30.1,37,20,S.Rolen (9.2),T.La Russa (105-57)
2003,STL,NL Central,162,85,77,0,0.525,0.544,3rd of 6,3,876,796,2910386,29.9,31.2,42,24,A.Pujols (8.7),T.La Russa (85-77)
2002,STL,NL Central,162,97,65,0,0.599,0.588,1st of 6,--,787,648,3011756,28.9,30.2,44,26,J.Edmonds (6.7),T.La Russa (97-65)
2001,STL,NL Central,162,93,69,0,0.574,0.579,2nd of 6,--,814,684,3109578,28.8,29.3,40,22,A.Pujols (6.6),T.La Russa (93-69)
2000,STL,NL Central,162,95,67,0,0.586,0.564,1st of 6,--,887,771,3336493,29.7,29.3,46,24,J.Edmonds (6.3),T.La Russa (95-67)
1999,STL,NL Central,161,75,86,0,0.466,0.484,4th of 6,21.5,809,838,3225334,28.7,28.6,42,22,M.McGwire (5.2),T.La Russa (75-86)
1998,STL,NL Central,163,83,79,1,0.512,0.516,3rd of 6,19,810,782,3195691,30.5,28.9,45,23,M.McGwire (7.5),T.La Russa (83-79)
1997,STL,NL Central,162,73,89,0,0.451,0.488,4th of 5,11,689,708,2634014,30,29.5,51,25,R.Lankford (5.3),T.La Russa (73-89)
1996,STL,NL Central,162,88,74,0,0.543,0.533,1st of 5,--,759,706,2654718,30.7,30.9,38,18,B.Jordan (5.5),T.La Russa (88-74)
1995,STL,NL Central,143,62,81,0,0.434,0.429,4th of 5,22.5,563,658,1756727,28.7,30.2,46,21,B.Jordan (5.2),J.Torre (20-27) and M.Jorgensen (42-54)
2019,MIL,NL Central,162,89,73,0,0.549,0.502,2nd of 5,2,769,766,2923333,28.9,28.7,50,30,C.Yelich (7.1),C.Counsell (89-73)
2018,MIL,NL Central,163,96,67,0,0.589,0.561,1st of 5,--,754,659,2850875,28.9,28.8,53,30,C.Yelich (7.6),C.Counsell (96-67)
2017,MIL,NL Central,162,86,76,0,0.531,0.522,2nd of 5,6,732,697,2627705,27.4,28.3,50,30,C.Anderson (4.1),C.Counsell (86-76)
2016,MIL,NL Central,162,73,89,0,0.451,0.46,4th of 5,30.5,671,733,2314614,27.5,28.1,50,27,R.Braun (4.4),C.Counsell (73-89)
2015,MIL,NL Central,162,68,94,0,0.42,0.446,4th of 5,32,655,737,2542558,28.1,28.4,49,26,R.Braun (3.8),R.Roenicke (7-18) and C.Counsell (61-76)
2014,MIL,NL Central,162,82,80,0,0.506,0.495,3rd of 5,8,650,657,2797384,28.8,29,40,21,J.Lucroy (6.6),R.Roenicke (82-80)
2013,MIL,NL Central,162,74,88,0,0.457,0.468,4th of 5,23,640,687,2531105,27.9,28.8,40,21,C.Gomez (7.8),R.Roenicke (74-88)
2012,MIL,NL Central,162,83,79,0,0.512,0.526,3rd of 6,14,776,733,2831385,29.2,29,46,23,R.Braun (6.9),R.Roenicke (83-79)
2011,MIL,NL Central,162,96,66,0,0.593,0.556,1st of 6,--,721,638,3071373,28.9,29.3,48,22,R.Braun (7.7),R.Roenicke (96-66)
2010,MIL,NL Central,162,77,85,0,0.475,0.468,3rd of 6,14,750,804,2776531,27.8,29.2,43,25,R.Braun (5.7),K.Macha (77-85)
2009,MIL,NL Central,162,80,82,0,0.494,0.481,3rd of 6,11,785,818,3037451,29.3,30,45,23,P.Fielder (6.3),K.Macha (80-82)
2008,MIL,NL Central,162,90,72,0,0.556,0.539,2nd of 6,7.5,750,689,3068458,28.7,29.9,44,20,C.Sabathia (5.2),N.Yost (83-67) and D.Sveum (7-5)
2007,MIL,NL Central,162,83,79,0,0.512,0.515,2nd of 6,2,801,776,2869144,27.7,29.1,40,21,C.Hart (4.7),N.Yost (83-79)
2006,MIL,NL Central,162,75,87,0,0.463,0.44,4th of 6,8.5,730,833,2335643,28.8,28.3,49,27,B.Hall (5.8),N.Yost (75-87)
2005,MIL,NL Central,162,81,81,0,0.5,0.519,3rd of 6,19,726,697,2211023,28.4,28,39,19,G.Jenkins (4.6),N.Yost (81-81)
2004,MIL,NL Central,161,67,94,0,0.416,0.42,6th of 6,37.5,634,757,2062382,28.5,27.2,41,22,B.Sheets (7.3),N.Yost (67-94)
2003,MIL,NL Central,162,68,94,0,0.42,0.409,6th of 6,20,714,873,1700354,29.8,27.6,42,23,S.Podsednik (3.6),N.Yost (68-94)
2002,MIL,NL Central,162,56,106,0,0.346,0.379,6th of 6,41,627,821,1969153,29.9,26.8,49,25,J.Hernandez (4.5),D.Lopes (3-12) and J.Royster (53-94)
2001,MIL,NL Central,162,68,94,0,0.42,0.461,4th of 6,25,740,806,2811041,29.4,27.3,46,24,R.Belliard (3.5),D.Lopes (68-94)
2000,MIL,NL Central,163,73,89,1,0.451,0.45,3rd of 6,22,740,826,1573621,28.8,27.4,46,24,J.D'Amico (4.8),D.Lopes (73-89)
1999,MIL,NL Central,161,74,87,0,0.46,0.462,5th of 6,22.5,815,886,1701796,28.1,28.2,44,24,J.Cirillo (4.8),P.Garner (52-60) and J.Lefebvre (22-27)
1998,MIL,NL Central,162,74,88,0,0.457,0.437,5th of 6,28,707,812,1811593,28.3,28.1,43,23,J.Cirillo (5.9),P.Garner (74-88)
1997,MIL,AL Central,161,78,83,0,0.484,0.461,3rd of 5,8,681,742,1444027,28,28.3,44,21,J.Cirillo (5.3),P.Garner (78-83)
1996,MIL,AL Central,162,80,82,0,0.494,0.497,3rd of 5,19.5,894,899,1327155,27.8,27.2,48,24,B.McDonald (5.3),P.Garner (80-82)
1995,MIL,AL Central,144,65,79,0,0.451,0.496,4th of 5,35,740,747,1087560,27.9,27.3,41,22,R.Bones (3.4),P.Garner (65-79)
2019,CHC,NL Central,162,84,78,0,0.519,0.558,3rd of 5,7,814,717,3094865,27.7,31.1,52,33,J.Baez (4.8),J.Maddon (84-78)
2018,CHC,NL Central,163,95,68,0,0.583,0.575,2nd of 5,1,761,645,3181089,27.2,30.2,50,35,J.Baez (6.3),J.Maddon (95-68)
2017,CHC,NL Central,162,92,70,0,0.568,0.576,1st of 5,--,822,695,3199562,27.1,30.8,47,28,K.Bryant (6.1),J.Maddon (92-70)
2016,CHC,NL Central,162,103,58,1,0.64,0.665,1st of 5,--,808,556,3232420,27.4,29.9,45,26,K.Bryant (7.4),J.Maddon (103-58)
2015,CHC,NL Central,162,97,65,0,0.599,0.557,3rd of 5,3,689,608,2919122,26.9,29.3,50,29,J.Arrieta (8.6),J.Maddon (97-65)
2014,CHC,NL Central,162,73,89,0,0.451,0.436,5th of 5,17,614,707,2652113,26.8,28,48,27,J.Arrieta (5.7),R.Renteria (73-89)
2013,CHC,NL Central,162,66,96,0,0.407,0.439,5th of 5,31,602,689,2642682,27.9,28.7,56,31,T.Wood (5.0),D.Sveum (66-96)
2012,CHC,NL Central,162,61,101,0,0.377,0.403,5th of 6,36,613,759,2882756,27.8,27.9,53,30,D.Barney (4.6),D.Sveum (61-101)
2011,CHC,NL Central,162,71,91,0,0.438,0.434,5th of 6,25,654,756,3017966,29.3,29.4,42,22,S.Castro (3.2),M.Quade (71-91)
2010,CHC,NL Central,162,75,87,0,0.463,0.448,5th of 6,16,685,767,3062973,29.4,28.2,44,23,M.Byrd (3.7),L.Piniella (51-74) and M.Quade (24-13)
2009,CHC,NL Central,161,83,78,0,0.516,0.523,2nd of 6,7.5,707,672,3168859,29.9,28.4,45,24,D.Lee (5.4),L.Piniella (83-78)
2008,CHC,NL Central,161,97,64,0,0.602,0.609,1st of 6,--,855,671,3300200,30.1,28.9,42,23,R.Dempster (6.8),L.Piniella (97-64)
2007,CHC,NL Central,162,85,77,0,0.525,0.539,1st of 6,--,752,690,3252462,29.3,28.4,47,22,A.Ramirez (5.3),L.Piniella (85-77)
2006,CHC,NL Central,162,66,96,0,0.407,0.431,6th of 6,17.5,716,834,3123215,28.6,28,46,23,C.Zambrano (5.7),D.Baker (66-96)
2005,CHC,NL Central,162,79,83,0,0.488,0.493,4th of 6,21,703,714,3099992,29.7,28.2,46,22,D.Lee (7.7),D.Baker (79-83)
2004,CHC,NL Central,162,89,73,0,0.549,0.578,3rd of 6,16,789,665,3170154,30.1,29.1,43,19,C.Zambrano (7.3),D.Baker (89-73)
2003,CHC,NL Central,162,88,74,0,0.543,0.527,1st of 6,--,724,683,2962630,31.3,28.2,42,17,M.Prior (7.9),D.Baker (88-74)
2002,CHC,NL Central,162,67,95,0,0.414,0.467,5th of 6,30,706,759,2693096,30.2,27.6,44,22,S.Sosa (5.7),"D.Baylor (34-49), R.Lachemann (0-1) and B.Kimm (33-45)"
2001,CHC,NL Central,162,88,74,0,0.543,0.547,3rd of 6,5,777,701,2779465,30.7,29.8,43,20,S.Sosa (10.3),D.Baylor (88-74)
2000,CHC,NL Central,162,65,97,0,0.401,0.424,6th of 6,30,764,904,2789511,30.8,28.4,51,24,S.Sosa (5.7),D.Baylor (65-97)
