year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2006,LAA,2,0,42059,2nd of 14,103472000.0,99,100,Angel Stadium of Anaheim
2007,LAA,1,1,41551,2nd of 14,109251333.0,100,101,Angel Stadium of Anaheim
2008,LAA,1,1,41194,2nd of 14,119216333.0,102,102,Angel Stadium of Anaheim
2009,LAA,1,1,40005,2nd of 14,118169000.0,98,99,Angel Stadium of Anaheim
2010,LAA,3,0,40134,2nd of 14,104963866.0,96,96,Angel Stadium of Anaheim
2011,LAA,2,0,39090,3rd of 14,138543166.0,92,92,Angel Stadium of Anaheim
2012,LAA,3,0,37800,3rd of 14,141073500.0,93,94,Angel Stadium of Anaheim
2013,LAA,3,0,37278,4th of 15,116532500.0,94,94,Angel Stadium of Anaheim
2014,LAA,1,1,38221,2nd of 15,128667000.0,94,95,Angel Stadium of Anaheim
2015,LAA,3,0,37195,2nd of 15,131522500.0,94,94,Angel Stadium of Anaheim
2016,LAA,4,0,37236,3rd of 15,139712000.0,95,95,Angel Stadium of Anaheim
2017,LAA,2,0,37279,3rd of 15,181125500.0,97,97,Angel Stadium of Anaheim
2018,LAA,4,0,37287,2nd of 15,166849666.0,98,98,Angel Stadium of Anaheim
2019,LAA,4,0,37272,2nd of 15,177345250.0,98,98,Angel Stadium of Anaheim
1995,LAD,1,1,38420,2nd of 14,39273201.0,90,91,Dodger Stadium
1996,LAD,2,1,39364,2nd of 14,35355000.0,92,93,Dodger Stadium
1997,LAD,2,0,40982,3rd of 14,45380304.0,92,93,Dodger Stadium
1998,LAD,3,0,38139,5th of 16,48820000.0,95,95,Dodger Stadium
1999,LAD,3,0,38214,4th of 16,81062453.0,94,94,Dodger Stadium
2000,LAD,2,0,35559,7th of 16,88124286.0,93,94,Dodger Stadium
2001,LAD,3,0,37249,4th of 16,109105953.0,91,92,Dodger Stadium
2002,LAD,3,0,38657,3rd of 16,94850953.0,92,92,Dodger Stadium
2003,LAD,2,0,38748,2nd of 16,105872620.0,94,94,Dodger Stadium
2004,LAD,1,1,43065,1st of 16,92902001.0,95,95,Dodger Stadium
2005,LAD,4,0,44489,1st of 16,83039000.0,97,98,Dodger Stadium
2006,LAD,2,1,46402,1st of 16,98447187.0,100,101,Dodger Stadium
2007,LAD,4,0,47618,1st of 16,108454524.0,100,101,Dodger Stadium
2008,LAD,1,1,46056,2nd of 16,118588536.0,97,98,Dodger Stadium
2009,LAD,1,1,46440,1st of 16,102117592.0,95,95,Dodger Stadium
2010,LAD,4,0,43979,2nd of 16,95358016.0,96,96,Dodger Stadium
